contractSymbol,strike,lastPrice,bid,ask,impliedVolatility,expiry,option_type,market_price,spot_price,sigma,ticker,bs_price,mispricing,mispricing_pct
AAPL260807C00260000,260.0,61.43,71.9,75.25,0.7236355761718749,2026-08-07,call,73.575,333.0199890136719,0.2480367173288849,AAPL,73.40436218174506,-0.17063781825494573,-0.23192364016982092
AAPL260807C00265000,265.0,68.25,67.3,70.0,0.692385888671875,2026-08-07,call,68.65,333.0199890136719,0.2480367173288849,AAPL,68.41175432497283,-0.23824567502717287,-0.3470439548829903
AAPL260807C00270000,270.0,63.33,62.0,65.35,0.6499058447265625,2026-08-07,call,63.675,333.0199890136719,0.2480367173288849,AAPL,63.41914922439781,-0.25585077560218394,-0.4018072643929077
AAPL260807C00275000,275.0,57.7,57.4,60.05,0.6113320117187502,2026-08-07,call,58.725,333.0199890136719,0.2480367173288849,AAPL,58.42656344017007,-0.29843655982993056,-0.5081933756150371
AAPL260807C00280000,280.0,54.0,52.1,55.5,0.5759319750976561,2026-08-07,call,53.8,333.0199890136719,0.2480367173288849,AAPL,53.4340889194155,-0.36591108058449606,-0.6801321200455317
AAPL260807C00285000,285.0,48.15,47.2,50.35,0.524418818359375,2026-08-07,call,48.775000000000006,333.0199890136719,0.2480367173288849,AAPL,48.44214617990889,-0.33285382009111686,-0.682427104236016
AAPL260807C00290000,290.0,43.25,42.35,45.35,0.6381872119140625,2026-08-07,call,43.85,333.0199890136719,0.2480367173288849,AAPL,43.45233133198644,-0.3976686680135586,-0.9068840775679786
AAPL260807C00295000,295.0,38.44,38.2,40.45,0.5886271606445312,2026-08-07,call,39.325,333.0199890136719,0.2480367173288849,AAPL,38.46970517181438,-0.8552948281856203,-2.1749391689399116
AAPL260807C00300000,300.0,33.9,32.8,36.05,0.5725140405273439,2026-08-07,call,34.425,333.0199890136719,0.2480367173288849,AAPL,33.50774537504634,-0.9172546249536566,-2.664501452298204
AAPL260807C00305000,305.0,28.58,28.5,31.15,0.5178270874023438,2026-08-07,call,29.825,333.0199890136719,0.2480367173288849,AAPL,28.59672142278498,-1.2282785772150184,-4.118285254702492
AAPL260807C00307500,307.5,26.84,26.25,28.15,0.4558159887695313,2026-08-07,call,27.2,333.0199890136719,0.2480367173288849,AAPL,26.176946306718378,-1.0230536932816214,-3.761226813535373
AAPL260807C00310000,310.0,25.35,24.45,27.15,0.5119067364501952,2026-08-07,call,25.8,333.0199890136719,0.2480367173288849,AAPL,23.7940836477714,-2.005916352228599,-7.774869582281392
AAPL260807C00312500,312.5,23.03,21.95,24.55,0.4731497998046875,2026-08-07,call,23.25,333.0199890136719,0.2480367173288849,AAPL,21.460803827756138,-1.7891961722438623,-7.695467407500484
AAPL260807C00315000,315.0,21.0,20.4,21.65,0.4186459503173828,2026-08-07,call,21.025,333.0199890136719,0.2480367173288849,AAPL,19.191888522112777,-1.833111477887222,-8.718722843696657
AAPL260807C00317500,317.5,18.97,18.15,19.95,0.424810439453125,2026-08-07,call,19.05,333.0199890136719,0.2480367173288849,AAPL,17.00378238245861,-2.046217617541391,-10.7412998296136
AAPL260807C00320000,320.0,17.13,16.4,17.45,0.389105230102539,2026-08-07,call,16.924999999999997,333.0199890136719,0.2480367173288849,AAPL,14.913875106674936,-2.0111248933250607,-11.882569532201247
AAPL260807C00322500,322.5,15.3,14.7,16.1,0.4040586938476562,2026-08-07,call,15.4,333.0199890136719,0.2480367173288849,AAPL,12.939554402690703,-2.460445597309297,-15.976919463047384
AAPL260807C00325000,325.0,13.7,13.3,13.9,0.3774476318359374,2026-08-07,call,13.6,333.0199890136719,0.2480367173288849,AAPL,11.097113339408764,-2.502886660591235,-18.40357838670026
AAPL260807C00327500,327.5,11.7,11.7,12.25,0.3712221081542969,2026-08-07,call,11.975,333.0199890136719,0.2480367173288849,AAPL,9.400628715008764,-2.5743712849912352,-21.497881294290067
AAPL260807C00330000,330.0,10.4,10.25,10.5,0.3569400244140625,2026-08-07,call,10.375,333.0199890136719,0.2480367173288849,AAPL,7.860942327777451,-2.514057672222549,-24.231881178048663
AAPL260807C00332500,332.5,9.18,8.8,9.2,0.3568179553222655,2026-08-07,call,9.0,333.0199890136719,0.2480367173288849,AAPL,6.48487002074026,-2.51512997925974,-27.945888658441554
AAPL260807C00335000,335.0,7.69,7.6,7.9,0.3521793298339843,2026-08-07,call,7.75,333.0199890136719,0.2480367173288849,AAPL,5.274734656241407,-2.4752653437585934,-31.938907661401206
AAPL260807C00337500,337.5,6.55,6.45,6.75,0.349066567993164,2026-08-07,call,6.6,333.0199890136719,0.2480367173288849,AAPL,4.22827421542604,-2.371725784573959,-35.93523916021151
AAPL260807C00340000,340.0,5.61,5.5,5.7,0.3454655297851562,2026-08-07,call,5.6,333.0199890136719,0.2480367173288849,AAPL,3.338923937897036,-2.2610760621029637,-40.37635825183864
AAPL260807C00342500,342.5,4.65,4.55,4.75,0.3413151806640625,2026-08-07,call,4.65,333.0199890136719,0.2480367173288849,AAPL,2.5964219210511885,-2.053578078948812,-44.162969439759394
AAPL260807C00345000,345.0,3.95,3.75,4.0,0.3413151806640625,2026-08-07,call,3.875,333.0199890136719,0.2480367173288849,AAPL,1.9876497036736254,-1.8873502963263746,-48.70581409874515
AAPL260807C00347500,347.5,3.05,3.05,3.4,0.3440617352294921,2026-08-07,call,3.225,333.0199890136719,0.2480367173288849,AAPL,1.4975986834855135,-1.7274013165144866,-53.56283151982903
AAPL260807C00350000,350.0,2.61,2.55,2.72,0.3383855224609374,2026-08-07,call,2.635,333.0199890136719,0.2480367173288849,AAPL,1.1103512894540302,-1.5246487105459696,-57.86143114026451
AAPL260807C00352500,352.5,2.13,2.01,2.21,0.3367986242675781,2026-08-07,call,2.11,333.0199890136719,0.2480367173288849,AAPL,0.8099803078487824,-1.3000196921512175,-61.61230768489183
AAPL260807C00355000,355.0,1.73,1.64,1.8,0.3366765551757812,2026-08-07,call,1.72,333.0199890136719,0.2480367173288849,AAPL,0.5812955604724941,-1.1387044395275059,-66.20374648415732
AAPL260807C00357500,357.5,1.41,1.27,1.49,0.3391179370117187,2026-08-07,call,1.38,333.0199890136719,0.2480367173288849,AAPL,0.4103979840922598,-0.9696020159077401,-70.26101564548843
AAPL260807C00360000,360.0,1.08,1.04,1.16,0.335944140625,2026-08-07,call,1.1,333.0199890136719,0.2480367173288849,AAPL,0.28503113269198366,-0.8149688673080164,-74.08807884618331
AAPL260807C00365000,365.0,0.72,0.63,0.75,0.33789724609375,2026-08-07,call,0.69,333.0199890136719,0.2480367173288849,AAPL,0.13090185591928094,-0.559098144080719,-81.02871653343755
AAPL260807C00370000,370.0,0.47,0.37,0.46,0.33789724609375,2026-08-07,call,0.415,333.0199890136719,0.2480367173288849,AAPL,0.05633277411887505,-0.35866722588112493,-86.42583756171686
